"","1st_network","Region","Age_group","Bridgeness","freq"
"1","DMN","Angular_L_1","Young","Global_Bridge",0.171428571428571
"2","DMN","Angular_L_1","Young","Local_Bridge",0.0857142857142857
"3","DMN","Angular_L_1","Young","Not_a_Bridge",0.292857142857143
"4","DMN","Angular_L_1","Young","Super_Bridge",0.45
"5","DMN","Angular_L_1","Middle","Global_Bridge",0.204819277108434
"6","DMN","Angular_L_1","Middle","Local_Bridge",0.0542168674698795
"7","DMN","Angular_L_1","Middle","Not_a_Bridge",0.234939759036145
"8","DMN","Angular_L_1","Middle","Super_Bridge",0.506024096385542
"9","DMN","Angular_L_1","Old","Global_Bridge",0.120689655172414
"10","DMN","Angular_L_1","Old","Local_Bridge",0.129310344827586
"11","DMN","Angular_L_1","Old","Not_a_Bridge",0.271551724137931
"12","DMN","Angular_L_1","Old","Super_Bridge",0.478448275862069
"13","SMN","Cerebelum_6_R","Young","Global_Bridge",0.0405405405405405
"14","SMN","Cerebelum_6_R","Young","Local_Bridge",0.540540540540541
"15","SMN","Cerebelum_6_R","Young","Not_a_Bridge",0.0945945945945946
"16","SMN","Cerebelum_6_R","Young","Super_Bridge",0.324324324324324
"17","SMN","Cerebelum_6_R","Middle","Global_Bridge",0
"18","SMN","Cerebelum_6_R","Middle","Local_Bridge",0.695652173913043
"19","SMN","Cerebelum_6_R","Middle","Not_a_Bridge",0.0869565217391304
"20","SMN","Cerebelum_6_R","Middle","Super_Bridge",0.217391304347826
"21","SMN","Cerebelum_6_R","Old","Global_Bridge",0.0165289256198347
"22","SMN","Cerebelum_6_R","Old","Local_Bridge",0.603305785123967
"23","SMN","Cerebelum_6_R","Old","Not_a_Bridge",0.0909090909090909
"24","SMN","Cerebelum_6_R","Old","Super_Bridge",0.289256198347107
"25","DMN","Cerebelum_Crus1_R_1","Young","Global_Bridge",0.176470588235294
"26","DMN","Cerebelum_Crus1_R_1","Young","Local_Bridge",0.0705882352941176
"27","DMN","Cerebelum_Crus1_R_1","Young","Not_a_Bridge",0.494117647058824
"28","DMN","Cerebelum_Crus1_R_1","Young","Super_Bridge",0.258823529411765
"29","DMN","Cerebelum_Crus1_R_1","Middle","Global_Bridge",0.09
"30","DMN","Cerebelum_Crus1_R_1","Middle","Local_Bridge",0.23
"31","DMN","Cerebelum_Crus1_R_1","Middle","Not_a_Bridge",0.4
"32","DMN","Cerebelum_Crus1_R_1","Middle","Super_Bridge",0.28
"33","DMN","Cerebelum_Crus1_R_1","Old","Global_Bridge",0.124223602484472
"34","DMN","Cerebelum_Crus1_R_1","Old","Local_Bridge",0.186335403726708
"35","DMN","Cerebelum_Crus1_R_1","Old","Not_a_Bridge",0.341614906832298
"36","DMN","Cerebelum_Crus1_R_1","Old","Super_Bridge",0.347826086956522
"37","FPN","Cerebelum_Crus1_R_2","Young","Global_Bridge",0.0945945945945946
"38","FPN","Cerebelum_Crus1_R_2","Young","Local_Bridge",0.310810810810811
"39","FPN","Cerebelum_Crus1_R_2","Young","Not_a_Bridge",0.256756756756757
"40","FPN","Cerebelum_Crus1_R_2","Young","Super_Bridge",0.337837837837838
"41","FPN","Cerebelum_Crus1_R_2","Middle","Global_Bridge",0.125
"42","FPN","Cerebelum_Crus1_R_2","Middle","Local_Bridge",0.375
"43","FPN","Cerebelum_Crus1_R_2","Middle","Not_a_Bridge",0.222222222222222
