"","1st_network","Region","Age_group","Hub_consensus","freq"
"1","DMN","Angular_L_1","Young","Connector",0.192857142857143
"2","DMN","Angular_L_1","Young","Peripheral",0.00714285714285714
"3","DMN","Angular_L_1","Young","Provincial",0.757142857142857
"4","DMN","Angular_L_1","Young","Satellite",0.0428571428571429
"5","DMN","Angular_L_1","Middle","Connector",0.349397590361446
"6","DMN","Angular_L_1","Middle","Peripheral",0
"7","DMN","Angular_L_1","Middle","Provincial",0.614457831325301
"8","DMN","Angular_L_1","Middle","Satellite",0.036144578313253
"9","DMN","Angular_L_1","Old","Connector",0.357758620689655
"10","DMN","Angular_L_1","Old","Peripheral",0
"11","DMN","Angular_L_1","Old","Provincial",0.625
"12","DMN","Angular_L_1","Old","Satellite",0.0172413793103448
"13","SMN","Cerebelum_6_R","Young","Connector",0.0945945945945946
"14","SMN","Cerebelum_6_R","Young","Peripheral",0.513513513513513
"15","SMN","Cerebelum_6_R","Young","Provincial",0
"16","SMN","Cerebelum_6_R","Young","Satellite",0.391891891891892
"17","SMN","Cerebelum_6_R","Middle","Connector",0.0760869565217391
"18","SMN","Cerebelum_6_R","Middle","Peripheral",0.402173913043478
"19","SMN","Cerebelum_6_R","Middle","Provincial",0.0108695652173913
"20","SMN","Cerebelum_6_R","Middle","Satellite",0.510869565217391
"21","SMN","Cerebelum_6_R","Old","Connector",0.603305785123967
"22","SMN","Cerebelum_6_R","Old","Peripheral",0.0413223140495868
"23","SMN","Cerebelum_6_R","Old","Provincial",0.132231404958678
"24","SMN","Cerebelum_6_R","Old","Satellite",0.223140495867769
"25","DMN","Cerebelum_Crus1_R_1","Young","Connector",0.223529411764706
"26","DMN","Cerebelum_Crus1_R_1","Young","Peripheral",0.0470588235294118
"27","DMN","Cerebelum_Crus1_R_1","Young","Provincial",0.647058823529412
"28","DMN","Cerebelum_Crus1_R_1","Young","Satellite",0.0823529411764706
"29","DMN","Cerebelum_Crus1_R_1","Middle","Connector",0.23
"30","DMN","Cerebelum_Crus1_R_1","Middle","Peripheral",0.1
"31","DMN","Cerebelum_Crus1_R_1","Middle","Provincial",0.54
"32","DMN","Cerebelum_Crus1_R_1","Middle","Satellite",0.13
"33","DMN","Cerebelum_Crus1_R_1","Old","Connector",0.304347826086957
"34","DMN","Cerebelum_Crus1_R_1","Old","Peripheral",0.0248447204968944
"35","DMN","Cerebelum_Crus1_R_1","Old","Provincial",0.590062111801242
"36","DMN","Cerebelum_Crus1_R_1","Old","Satellite",0.0807453416149068
"37","FPN","Cerebelum_Crus1_R_2","Young","Connector",0.175675675675676
"38","FPN","Cerebelum_Crus1_R_2","Young","Peripheral",0.121621621621622
"39","FPN","Cerebelum_Crus1_R_2","Young","Provincial",0.148648648648649
"40","FPN","Cerebelum_Crus1_R_2","Young","Satellite",0.554054054054054
"41","FPN","Cerebelum_Crus1_R_2","Middle","Connector",0.25
"42","FPN","Cerebelum_Crus1_R_2","Middle","Peripheral",0.0833333333333333
"43","FPN","Cerebelum_Crus1_R_2","Middle","Provincial",0.180555555555556
"44","FPN","Cerebelum_Crus1_R_2","Middle","Satellite",0.486111111111111
"45","FPN","Cerebelum_Crus1_R_2","Old","Connector",0.295081967213115
"46","FPN","Cerebelum_Crus1_R_2","Old","Peripheral",0.0737704918032787
"47","FPN","Cerebelum_Crus1_R_2","Old","Provincial",0.245901639344262
"48","FPN","Cerebelum_Crus1_R_2","Old","Satellite",0.385245901639344
"49","FPN","Cerebelum_Crus2_R","Young","Connector",0.215909090909091
"50","FPN","Cerebelum_Crus2_R","Young","Peripheral",0.0909090909090909
"51","FPN","Cerebelum_Crus2_R","Young","Provincial",0.306818181818182
"52","FPN","Cerebelum_Crus2_R","Young","Satellite",0.386363636363636
"53","FPN","Cerebelum_Crus2_R","Middle","Connector",0.222222222222222
"54","FPN","Cerebelum_Crus2_R","Middle","Peripheral",0.0606060606060606
"55","FPN","Cerebelum_Crus2_R","Middle","Provincial",0.242424242424242
"56","FPN","Cerebelum_Crus2_R","Middle","Satellite",0.474747474747475
"57","FPN","Cerebelum_Crus2_R","Old","Connector",0.358333333333333
"58","FPN","Cerebelum_Crus2_R","Old","Peripheral",0.0416666666666667
"59","FPN","Cerebelum_Crus2_R","Old","Provincial",0.275
"60","FPN","Cerebelum_Crus2_R","Old","Satellite",0.325
"61","DMN","Cingulum_Ant_L_2","Young","Connector",0.222222222222222
"62","DMN","Cingulum_Ant_L_2","Young","Peripheral",0.0317460317460317
"63","DMN","Cingulum_Ant_L_2","Young","Provincial",0.357142857142857
"64","DMN","Cingulum_Ant_L_2","Young","Satellite",0.388888888888889
"65","DMN","Cingulum_Ant_L_2","Middle","Connector",0.380597014925373
"66","DMN","Cingulum_Ant_L_2","Middle","Peripheral",0.00746268656716418
"67","DMN","Cingulum_Ant_L_2","Middle","Provincial",0.358208955223881
"68","DMN","Cingulum_Ant_L_2","Middle","Satellite",0.253731343283582
"69","DMN","Cingulum_Ant_L_2","Old","Connector",0.357894736842105
"70","DMN","Cingulum_Ant_L_2","Old","Peripheral",0.0210526315789474
"71","DMN","Cingulum_Ant_L_2","Old","Provincial",0.373684210526316
"72","DMN","Cingulum_Ant_L_2","Old","Satellite",0.247368421052632
"73","CON","Cingulum_Ant_L_3","Young","Connector",0.346938775510204
"74","CON","Cingulum_Ant_L_3","Young","Peripheral",0.0204081632653061
"75","CON","Cingulum_Ant_L_3","Young","Provincial",0.183673469387755
